,PURC_MON_NEW,group,value,value_label
1,202009,'21(R),5.332331568,5.332331568
2,202010,'21(R),5.561560924,5.561560924
3,202011,'21(R),5.766834923,5.766834923
4,202012,'21(R),6.432247175,6.432247175
5,202101,'21(R),6.113801656,6.113801656
6,202102,'21(R),5.849869126,5.849869126
7,202103,'21(R),6.038473793,6.038473793
8,202104,'21(R),NA,NA
9,202105,'21(R),NA,NA
10,202106,'21(R),NA,NA
11,202107,'21(R),NA,NA
12,202108,'21(R),NA,NA
13,202109,'21(R),NA,NA
14,202009,L6M,2.295947857,2.295947857
15,202010,L6M,2.015247819,2.015247819
16,202011,L6M,2.165967572,2.165967572
17,202012,L6M,2.940335039,2.940335039
18,202101,L6M,2.640390884,2.640390884
19,202102,L6M,1.757008803,1.757008803
20,202103,L6M,1.882485487,1.882485487
21,202104,L6M,NA,NA
22,202105,L6M,NA,NA
23,202106,L6M,NA,NA
24,202107,L6M,NA,NA
25,202108,L6M,NA,NA
26,202109,L6M,NA,NA
27,202009,L3M,1.892622035,1.892622035
28,202010,L3M,1.736405218,1.736405218
29,202011,L3M,1.16025342,1.16025342
30,202012,L3M,2.122810445,2.122810445
31,202101,L3M,0.971340792,0.971340792
32,202102,L3M,0.751331651,0.751331651
33,202103,L3M,0.601386585,0.601386585
34,202104,L3M,NA,NA
35,202105,L3M,NA,NA
36,202106,L3M,NA,NA
37,202107,L3M,NA,NA
38,202108,L3M,NA,NA
39,202109,L3M,NA,NA
40,202009,'20(R),4.912312097,4.912312097
41,202010,'20(R),4.968720729,4.968720729
42,202011,'20(R),3.930644586,3.930644586
43,202012,'20(R),3.880604368,3.880604368
44,202101,'20(R),3.394061409,3.394061409
45,202102,'20(R),3.298525481,3.298525481
46,202103,'20(R),3.43420608,3.43420608
47,202104,'20(R),3.987623105,3.987623105
48,202105,'20(R),4.124473657,4.124473657
49,202106,'20(R),4.27170636,4.27170636
50,202107,'20(R),4.619783703,4.619783703
51,202108,'20(R),5.095118217,5.095118217
52,202109,'20(R),5.332331568,5.332331568
53,202009,L3M('20),1.049160671,1.049160671
54,202010,L3M('20),1.23321748,1.23321748
55,202011,L3M('20),0.992754568,0.992754568
56,202012,L3M('20),0.540710468,0.540710468
57,202101,L3M('20),0,0
58,202102,L3M('20),0,0
59,202103,L3M('20),0.390352712,0.390352712
60,202104,L3M('20),1.047241434,1.047241434
61,202105,L3M('20),1.825507926,1.825507926
62,202106,L3M('20),1.265322262,1.265322262
63,202107,L3M('20),0.760448522,0.760448522
64,202108,L3M('20),0.85049239,0.85049239
65,202109,L3M('20),1.892622035,1.892622035
66,202009,'21(T),NA,NA
67,202010,'21(T),4.435013167,4.435013167
68,202011,'21(T),4.421583935,4.421583935
69,202012,'21(T),4.415741236,4.415741236
70,202101,'21(T),4.370684508,4.370684508
71,202102,'21(T),4.290320975,4.290320975
72,202103,'21(T),4.207608584,4.207608584
73,202104,'21(T),4.108468151,4.108468151
74,202105,'21(T),4.043911838,4.043911838
75,202106,'21(T),3.9459167,3.9459167
76,202107,'21(T),3.856719218,3.856719218
77,202108,'21(T),3.753871977,3.753871977
78,202109,'21(T),3.734577116,3.734577116
