"","SVC_MON_NEW_ind_cal","CALC_PROD_DT_ind","svc_rate_value","svc_rate_last_point_label"
"1","M01","202004",0.0302434197348925,NA
"2","M02","202004",0.0992196401828931,NA
"3","M03","202004",0.197908694054648,NA
"4","M04","202004",0.33705495415071,NA
"5","M05","202004",0.463865082512804,NA
"6","M06","202004",0.589216098519266,NA
"7","M07","202004",0.704485974614098,NA
"8","M08","202004",0.814052047864191,NA
"9","M09","202004",0.920434603247454,NA
"10","M10","202004",1.00944045694093,NA
"11","M11","202004",1.10587451899035,NA
"12","M12","202004",1.11051714921281,"202004"
"13","M01","202005",0.0110015519522621,NA
"14","M02","202005",0.0555211655190826,NA
"15","M03","202005",0.149474419191401,NA
"16","M04","202005",0.252815663862982,NA
"17","M05","202005",0.363711307541784,NA
"18","M06","202005",0.463385368229278,NA
"19","M07","202005",0.556385154065734,NA
"20","M08","202005",0.650191720378688,NA
"21","M09","202005",0.734830326731424,NA
"22","M10","202005",0.816021780139118,NA
"23","M11","202005",0.821229181396522,"202005"
"24","M12","202005",NA,NA
"25","M01","202006",0.00805347507449464,NA
"26","M02","202006",0.0579027222509286,NA
"27","M03","202006",0.139319240339798,NA
"28","M04","202006",0.249951649757308,NA
"29","M05","202006",0.363346930185777,NA
"30","M06","202006",0.465102881674464,NA
"31","M07","202006",0.568387229892618,NA
"32","M08","202006",0.661266723452484,NA
"33","M09","202006",0.748150199073674,NA
"34","M10","202006",0.754440139460323,"202006"
"35","M11","202006",NA,NA
"36","M12","202006",NA,NA
"37","M01","202007",0.0117134135694851,NA
"38","M02","202007",0.055978710541809,NA
"39","M03","202007",0.141833206255226,NA
"40","M04","202007",0.248438430876383,NA
"41","M05","202007",0.355657841976838,NA
"42","M06","202007",0.461034693639397,NA
"43","M07","202007",0.565314783731779,NA
"44","M08","202007",0.660425947097486,NA
"45","M09","202007",0.666216848188018,"202007"
"46","M10","202007",NA,NA
"47","M11","202007",NA,NA
"48","M12","202007",NA,NA
"49","M01","202008",0.00727234020251233,NA
"50","M02","202008",0.0536284305436663,NA
"51","M03","202008",0.134843000738203,NA
"52","M04","202008",0.232105472496944,NA
"53","M05","202008",0.337330953639441,NA
"54","M06","202008",0.45019442337452,NA
"55","M07","202008",0.558507602033168,NA
"56","M08","202008",0.564845507461055,"202008"
"57","M09","202008",NA,NA
"58","M10","202008",NA,NA
"59","M11","202008",NA,NA
"60","M12","202008",NA,NA
"61","M01","202009",0.00161242354425028,NA
"62","M02","202009",0.0321051443477388,NA
"63","M03","202009",0.101260198578917,NA
"64","M04","202009",0.208002637208286,NA
"65","M05","202009",0.336315719696291,NA
"66","M06","202009",0.467961144175747,NA
"67","M07","202009",0.477241537463765,"202009"
"68","M08","202009",NA,NA
"69","M09","202009",NA,NA
"70","M10","202009",NA,NA
"71","M11","202009",NA,NA
"72","M12","202009",NA,NA
"73","M01","202010",0.00336813742000674,NA
"74","M02","202010",0.0351486815909614,NA
"75","M03","202010",0.126788697731343,NA
"76","M04","202010",0.248441819594556,NA
"77","M05","202010",0.378531958955411,NA
"78","M06","202010",0.386935628557804,"202010"
"79","M07","202010",NA,NA
"80","M08","202010",NA,NA
"81","M09","202010",NA,NA
"82","M10","202010",NA,NA
"83","M11","202010",NA,NA
"84","M12","202010",NA,NA
"85","M01","202011",0.00203676972847219,NA
"86","M02","202011",0.0409617023170519,NA
"87","M03","202011",0.140461675348712,NA
"88","M04","202011",0.259952166085747,NA
"89","M05","202011",0.268853604158329,"202011"
"90","M06","202011",NA,NA
"91","M07","202011",NA,NA
"92","M08","202011",NA,NA
"93","M09","202011",NA,NA
"94","M10","202011",NA,NA
"95","M11","202011",NA,NA
"96","M12","202011",NA,NA
"97","M01","202012",0.00235434108614583,NA
"98","M02","202012",0.0420347981422287,NA
"99","M03","202012",0.133854100501916,NA
"100","M04","202012",0.144988171888481,"202012"
"101","M05","202012",NA,NA
"102","M06","202012",NA,NA
"103","M07","202012",NA,NA
"104","M08","202012",NA,NA
"105","M09","202012",NA,NA
"106","M10","202012",NA,NA
"107","M11","202012",NA,NA
"108","M12","202012",NA,NA
"109","M01","202101",0.00109303205726395,NA
"110","M02","202101",0.0339750797799544,NA
"111","M03","202101",0.0387570950304842,"202101"
"112","M04","202101",NA,NA
"113","M05","202101",NA,NA
"114","M06","202101",NA,NA
"115","M07","202101",NA,NA
"116","M08","202101",NA,NA
"117","M09","202101",NA,NA
"118","M10","202101",NA,NA
"119","M11","202101",NA,NA
"120","M12","202101",NA,NA
"121","M01","202102",0.00127029163863556,NA
"122","M02","202102",0.0015751616319081,"202102"
"123","M03","202102",NA,NA
"124","M04","202102",NA,NA
"125","M05","202102",NA,NA
"126","M06","202102",NA,NA
"127","M07","202102",NA,NA
"128","M08","202102",NA,NA
"129","M09","202102",NA,NA
"130","M10","202102",NA,NA
"131","M11","202102",NA,NA
"132","M12","202102",NA,NA
"133","M01","202103",0.00087029163863556,"202103"
"134","M02","202103",NA,NA
"135","M03","202103",NA,NA
"136","M04","202103",NA,NA
"137","M05","202103",NA,NA
"138","M06","202103",NA,NA
"139","M07","202103",NA,NA
"140","M08","202103",NA,NA
"141","M09","202103",NA,NA
"142","M10","202103",NA,NA
"143","M11","202103",NA,NA
"144","M12","202103",NA,NA
