"","PURC_MON","PROD_CORP","SALES_CORP","SELLIN_SUM"
"1","201802","LGEIN","LGEIN",40510
"2","201803","LGEIN","LGEIN",50475
"3","201804","LGEIN","LGEIN",42460
"4","201805","LGEIN","LGEIN",47847
"5","201806","LGEIN","LGEIN",40171
"6","201807","LGEIN","LGEIN",55201
"7","201808","LGEIN","LGEIN",47816
"8","201808","LGEKR","LGEIN",5
"9","201809","LGEIN","LGEIN",52456
"10","201809","LGEKR","LGEIN",2
"11","201810","LGEIN","LGEIN",43184
"12","201810","LGEKR","LGEIN",6
"13","201811","LGEIN","LGEIN",36591
"14","201811","LGEKR","LGEIN",2
"15","201812","LGEIN","LGEIN",22427
"16","201812","LGEKR","LGEIN",1
"17","201901","LGEIN","LGEIN",61292
"18","201902","LGEIN","LGEIN",46353
"19","201903","LGEIN","LGEIN",54281
"20","201903","LGEKR","LGEIN",4
"21","201904","LGEIN","LGEIN",47259
"22","201905","LGEIN","LGEIN",48779
"23","201905","LGEKR","LGEIN",1
"24","201906","LGEIN","LGEIN",38502
"25","201906","LGEKR","LGEIN",1
"26","201907","LGEIN","LGEIN",53213
"27","201907","LGEKR","LGEIN",2
"28","201908","LGEIN","LGEIN",44860
"29","201908","LGEKR","LGEIN",1
"30","201909","LGEIN","LGEIN",40065
"31","201909","LGEKR","LGEIN",2
"32","201910","LGEIN","LGEIN",35774
"33","201911","LGEIN","LGEIN",36608
"34","201912","LGEIN","LGEIN",34003
"35","202001","LGEIN","LGEIN",61139
"36","202002","LGEIN","LGEIN",57582
"37","202003","LGEIN","LGEIN",59985
"38","202004","LGEIN","LGEIN",50227
"39","202005","LGEIN","LGEIN",32206
"40","202006","LGEIN","LGEIN",52019
"41","202007","LGEIN","LGEIN",55482
"42","202008","LGEIN","LGEIN",41118
"43","202009","LGEIN","LGEIN",35635
"44","202010","LGEIN","LGEIN",54644
"45","202010","LGEKR","LGEIN",-1
"46","202011","LGEIN","LGEIN",46600
"47","202012","LGEIN","LGEIN",28826
"48","202101","LGEIN","LGEIN",48104
"49","202102","LGEIN","LGEIN",46859
"50","202103","LGEIN","LGEIN",561
