"","PURC_MON","PROD_CORP","SALES_CORP","SELLIN_SUM"
"1",201802,"*","LGEIN",40510
"2",201803,"*","LGEIN",50475
"3",201804,"*","LGEIN",42460
"4",201805,"*","LGEIN",47847
"5",201806,"*","LGEIN",40171
"6",201807,"*","LGEIN",55201
"7",201808,"*","LGEIN",47821
"8",201809,"*","LGEIN",52458
"9",201810,"*","LGEIN",43190
"10",201811,"*","LGEIN",36593
"11",201812,"*","LGEIN",22428
"12",201901,"*","LGEIN",61292
"13",201902,"*","LGEIN",46353
"14",201903,"*","LGEIN",54285
"15",201904,"*","LGEIN",47259
"16",201905,"*","LGEIN",48780
"17",201906,"*","LGEIN",38503
"18",201907,"*","LGEIN",53215
"19",201908,"*","LGEIN",44861
"20",201909,"*","LGEIN",40067
"21",201910,"*","LGEIN",35774
"22",201911,"*","LGEIN",36608
"23",201912,"*","LGEIN",34003
"24",202001,"*","LGEIN",61139
"25",202002,"*","LGEIN",57582
"26",202003,"*","LGEIN",59985
"27",202004,"*","LGEIN",50227
"28",202005,"*","LGEIN",32206
"29",202006,"*","LGEIN",52019
"30",202007,"*","LGEIN",55482
"31",202008,"*","LGEIN",41118
"32",202009,"*","LGEIN",35635
"33",202010,"*","LGEIN",54643
"34",202011,"*","LGEIN",46600
"35",202012,"*","LGEIN",28826
"36",202101,"*","LGEIN",48104
"37",202102,"*","LGEIN",46859
"38",202103,"*","LGEIN",561
