"","ISSUE_MON","PURC_MON_NEW","PRODUCT_DIVIDE","PROD_CORP","SALES_CORP","DETAIL","SVC_COUNT"
"1",201802,201802,"LED_FHD","LGEIN","LGEIN","08.조정/SW",58
"2",201803,201802,"LED_FHD","LGEIN","LGEIN","09.연결수리",95
"3",201803,201803,"LED_FHD","LGEIN","LGEIN","12.기타수리",62
"4",201804,201802,"OLED","LGEIN","LGEIN","07.설명/NDF",78
"5",201804,201802,"LED_FHD","기타","LGEIN","14.제품교환",1
"6",201804,201803,"LED_FHD","LGEIN","LGEIN","12.기타수리",68
"7",201804,201804,"LED_UHD","LGEIN","LGEIN","11.환경/타기기",51
"8",201805,201802,"LED_FHD","LGEIN","LGEIN","09.연결수리",86
"9",201805,201803,"LED_FHD","LGEIN","LGEIN","12.기타수리",78
"10",201805,201804,"LED_FHD","LGEIN","LGEIN","02.메인",66
"11",201805,201805,"LED_UHD","LGEIN","LGEIN","09.연결수리",40
"12",201806,201802,"LED_FHD","LGEIN","LGEIN","02.메인",52
"13",201806,201803,"LED_FHD","LGEIN","LGEIN","02.메인",51
"14",201806,201804,"LED_FHD","LGEIN","LGEIN","02.메인",39
"15",201806,201805,"LED_FHD","LGEIN","LGEIN","01.모듈",39
"16",201806,201806,"LED_FHD","LGEIN","LGEIN","08.조정/SW",21
"17",201807,201802,"LED_FHD","LGEIN","LGEIN","11.환경/타기기",75
"18",201807,201803,"LED_FHD","LGEIN","LGEIN","12.기타수리",70
"19",201807,201804,"LED_FHD","LGEIN","LGEIN","12.기타수리",77
"20",201807,201804,"LED_FHD","기타","LGEIN","14.제품교환",1
"21",201807,201805,"LED_FHD","LGEIN","LGEIN","11.환경/타기기",75
"22",201807,201806,"LED_FHD","LGEIN","LGEIN","08.조정/SW",46
"23",201807,201807,"LED_FHD","LGEIN","LGEIN","14.제품교환",44
"24",201808,201802,"LED_FHD","LGEIN","LGEIN","11.환경/타기기",71
"25",201808,201803,"LED_FHD","LGEIN","LGEIN","07.설명/NDF",88
"26",201808,201803,"LED_FHD","기타","LGEIN","14.제품교환",1
"27",201808,201804,"LED_FHD","LGEIN","LGEIN","08.조정/SW",87
"28",201808,201805,"LED_UHD","LGEIN","LGEIN","12.기타수리",82
"29",201808,201806,"LED_UHD","LGEIN","LGEIN","12.기타수리",43
"30",201808,201807,"LED_FHD","LGEIN","LGEIN","12.기타수리",47
"31",201808,201808,"LED_FHD","LGEIN","LGEIN","08.조정/SW",24
"32",201809,201802,"LED_FHD","LGEIN","LGEIN","08.조정/SW",63
"33",201809,201803,"LED_FHD","LGEIN","LGEIN","12.기타수리",60
"34",201809,201804,"LED_FHD","LGEIN","LGEIN","01.모듈",70
"35",201809,201805,"LED_FHD","LGEIN","LGEIN","12.기타수리",52
"36",201809,201806,"LED_FHD","LGEIN","LGEIN","09.연결수리",65
"37",201809,201807,"LED_UHD","LGEIN","LGEIN","11.환경/타기기",41
"38",201809,201808,"LED_FHD","LGEIN","LGEIN","12.기타수리",38
"39",201809,201809,"LED_FHD","LGEIN","LGEIN","12.기타수리",30
"40",201810,201802,"LED_UHD","LGEIN","LGEIN","05.SUB B/D",49
"41",201810,201803,"LED_FHD","LGEIN","LGEIN","01.모듈",52
"42",201810,201804,"LED_FHD","LGEIN","LGEIN","12.기타수리",74
"43",201810,201805,"LED_FHD","LGEIN","LGEIN","01.모듈",81
"44",201810,201806,"LED_FHD","LGEIN","LGEIN","02.메인",55
"45",201810,201807,"LED_FHD","LGEIN","LGEIN","07.설명/NDF",72
"46",201810,201808,"LED_FHD","LGEIN","LGEIN","02.메인",72
"47",201810,201809,"LED_FHD","LGEIN","LGEIN","12.기타수리",47
"48",201810,201809,"LED_FHD","기타","LGEIN","14.제품교환",1
"49",201810,201810,"LED_FHD","LGEIN","LGEIN","12.기타수리",43
"50",201811,201802,"LED_FHD","LGEIN","LGEIN","01.모듈",56
"51",201811,201803,"LED_FHD","LGEIN","LGEIN","01.모듈",51
"52",201811,201804,"LED_FHD","LGEIN","LGEIN","02.메인",41
"53",201811,201805,"LED_FHD","LGEIN","LGEIN","02.메인",71
"54",201811,201806,"LED_FHD","LGEIN","LGEIN","01.모듈",60
"55",201811,201807,"LED_UHD","LGEIN","LGEIN","01.모듈",59
"56",201811,201808,"LED_FHD","LGEIN","LGEIN","01.모듈",49
"57",201811,201809,"LED_FHD","LGEIN","LGEIN","02.메인",45
"58",201811,201810,"LED_FHD","LGEIN","LGEIN","02.메인",39
"59",201811,201811,"LED_FHD","LGEIN","LGEIN","02.메인",41
"60",201812,201802,"LED_UHD","LGEIN","LGEIN","01.모듈",69
"61",201812,201803,"LED_FHD","LGEIN","LGEIN","02.메인",70
"62",201812,201804,"LED_FHD","LGEIN","LGEIN","01.모듈",68
"63",201812,201805,"LED_FHD","LGEIN","LGEIN","01.모듈",76
"64",201812,201805,"LED_UHD","기타","LGEIN","14.제품교환",1
"65",201812,201806,"LED_FHD","LGEIN","LGEIN","09.연결수리",70
"66",201812,201807,"LED_FHD","LGEIN","LGEIN","02.메인",81
"67",201812,201808,"LED_FHD","LGEIN","LGEIN","12.기타수리",42
"68",201812,201809,"LED_FHD","LGEIN","LGEIN","01.모듈",44
"69",201812,201810,"LED_FHD","LGEIN","LGEIN","14.제품교환",67
"70",201812,201811,"LED_UHD","LGEIN","LGEIN","02.메인",62
"71",201812,201812,"LED_FHD","LGEIN","LGEIN","01.모듈",26
"72",201901,201802,"LED_FHD","LGEIN","LGEIN","08.조정/SW",76
"73",201901,201803,"LED_FHD","LGEIN","LGEIN","03.파워",81
"74",201901,201804,"LED_UHD","LGEIN","LGEIN","01.모듈",65
"75",201901,201805,"LED_FHD","LGEIN","LGEIN","01.모듈",69
"76",201901,201806,"LED_FHD","LGEIN","LGEIN","02.메인",73
"77",201901,201807,"LED_UHD","LGEIN","LGEIN","01.모듈",68
"78",201901,201808,"LED_FHD","LGEIN","LGEIN","02.메인",58
"79",201901,201809,"LED_FHD","LGEIN","LGEIN","12.기타수리",59
"80",201901,201809,"LED_UHD","기타","LGEIN","14.제품교환",1
"81",201901,201810,"LED_FHD","LGEIN","LGEIN","01.모듈",66
"82",201901,201810,"LED_FHD","기타","LGEIN","14.제품교환",1
"83",201901,201811,"LED_UHD","LGEIN","LGEIN","02.메인",66
"84",201901,201812,"LED_UHD","LGEIN","LGEIN","07.설명/NDF",54
"85",201901,201901,"LED_FHD","LGEIN","LGEIN","12.기타수리",39
"86",201902,201802,"LED_FHD","LGEIN","LGEIN","01.모듈",56
"87",201902,201803,"LED_FHD","LGEIN","LGEIN","02.메인",74
"88",201902,201804,"LED_UHD","LGEIN","LGEIN","02.메인",71
"89",201902,201804,"LED_FHD","OS_Fouani","LGEIN","14.제품교환",1
"90",201902,201805,"LED_FHD","LGEIN","LGEIN","02.메인",92
"91",201902,201806,"LED_FHD","LGEIN","LGEIN","02.메인",57
"92",201902,201807,"LED_FHD","LGEIN","LGEIN","02.메인",66
"93",201902,201807,"LED_UHD","기타","LGEIN","14.제품교환",1
"94",201902,201808,"LED_FHD","LGEIN","LGEIN","02.메인",86
"95",201902,201809,"LED_FHD","LGEIN","LGEIN","02.메인",56
"96",201902,201810,"LED_FHD","LGEIN","LGEIN","11.환경/타기기",78
"97",201902,201810,"LED_FHD","기타","LGEIN","14.제품교환",1
"98",201902,201811,"LED_FHD","LGEIN","LGEIN","02.메인",81
"99",201902,201812,"LED_FHD","LGEIN","LGEIN","02.메인",74
"100",201902,201812,"LED_FHD","기타","LGEIN","14.제품교환",1
"101",201902,201901,"LED_UHD","LGEIN","LGEIN","02.메인",63
"102",201902,201902,"LED_FHD","LGEIN","LGEIN","02.메인",27
"103",201903,201802,"LED_FHD","LGEIN","LGEIN","02.메인",16
"104",201903,201803,"LED_FHD","LGEIN","LGEIN","12.기타수리",83
"105",201903,201804,"LED_FHD","LGEIN","LGEIN","01.모듈",81
"106",201903,201805,"LED_FHD","LGEIN","LGEIN","12.기타수리",86
"107",201903,201806,"LED_UHD","LGEIN","LGEIN","12.기타수리",72
"108",201903,201807,"OLED","LGEIN","LGEIN","12.기타수리",62
"109",201903,201808,"LED_FHD","LGEIN","LGEIN","12.기타수리",55
